__id,Code du département,Libellé du département,Etat saisie,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Sexe,Nom,Prénom,Voix,% Voix/Ins,% Voix/Exp
24,23,,,,23479,25,67479,74.19,5915,2050-06-30,1977-08-30,2857,"3,14","4,23",58707,2064-08-30,1987-08-30,M,MACRON,Emmanuel,30554,2033-08-30,2052-08-30
25,24,,,,72606,22,245523,77.18,18941,1995-05-30,2071-07-30,10713,"3,37","4,36",215869,2067-08-30,1987-08-30,M,MACRON,Emmanuel,111182,2034-08-30,2051-08-30
26,25,,,,95455,25,272982,74.09,18190,1994-04-30,2066-06-30,6527,"1,77","2,39",248265,2067-08-30,1990-08-30,M,MACRON,Emmanuel,141917,2038-08-30,2057-08-30
27,26,,,,96584,25,285696,74.73,21116,2052-05-30,2039-07-30,6666,"1,74","2,33",257914,2067-08-30,1990-08-30,M,MACRON,Emmanuel,143697,2037-08-30,2055-08-30
28,27,,,,104821,24,327452,75.75,19537,2052-04-30,1997-05-30,6078,"1,41","1,86",301837,2069-08-30,1992-08-30,M,MACRON,Emmanuel,146751,2033-08-30,2048-08-30
29,28,,,,79606,26,224401,73.81,13661,2049-04-30,2023-06-09,4811,"1,58","2,14",205929,2067-08-30,1991-08-30,M,MACRON,Emmanuel,109744,2036-08-30,2053-08-30
30,29,,,,161974,22,547844,77.18,42852,2023-06-04,1982-07-30,12523,"1,76","2,29",492469,2069-08-30,1989-08-30,M,MACRON,Emmanuel,332396,2046-08-30,2067-08-30
31,30,,,,146848,26,408429,73.55,27684,1999-04-30,1978-06-30,9410,"1,69","2,30",371335,2066-08-30,1990-08-30,M,MACRON,Emmanuel,177669,2032-08-30,2047-08-30
32,31,,,,223557,24,707022,75.98,51784,2056-05-30,2032-07-30,19366,"2,08","2,74",635872,2068-08-30,1989-08-30,M,MACRON,Emmanuel,409622,2044-08-30,2064-08-30
33,32,,,,30993,21,116275,78.95,9512,2046-06-30,2023-08-18,7016,"4,76","6,03",99747,2067-08-30,1985-08-30,M,MACRON,Emmanuel,55559,2037-08-30,2055-08-30
34,33,,,,288844,24,869707,75.07,59890,2023-05-17,1989-06-30,19934,"1,72","2,29",789883,2068-08-30,1990-08-30,M,MACRON,Emmanuel,484771,2041-08-30,2061-08-30
35,34,,,,225798,26,621681,73.36,41829,1994-04-30,1973-06-30,14878,"1,76","2,39",564974,2066-08-30,1990-08-30,M,MACRON,Emmanuel,297066,2035-08-30,2052-08-30
36,35,,,,169031,21,602839,78.1,39489,2023-05-12,2055-06-30,13090,"1,70","2,17",550260,2071-08-30,1991-08-30,M,MACRON,Emmanuel,390330,2050-08-30,2070-08-30
37,36,,,,41208,24,124849,75.18,8768,2023-05-28,2023-07-02,4094,"2,47","3,28",111987,2067-08-30,1989-08-30,M,MACRON,Emmanuel,57558,2034-08-30,2051-08-30
38,37,,,,108984,24,331766,75.27,22088,2023-05-01,2066-06-30,9238,"2,10","2,78",300440,2068-08-30,1990-08-30,M,MACRON,Emmanuel,188421,2042-08-30,2062-08-30
39,38,,,,229398,25,656274,74.1,43467,1991-04-30,2062-06-30,11627,"1,31","1,77",601180,2067-08-30,1991-08-30,M,MACRON,Emmanuel,359596,2040-08-30,2059-08-30
40,39,,,2044-06-19,45869,24,144775,75.94,11194,1987-05-30,1973-07-30,3851,"2,02","2,66",129730,2068-08-30,1989-08-30,M,MACRON,Emmanuel,68846,2036-08-30,2053-08-30
41,40,,,,73120,22,256256,77.8,20685,2023-06-28,2023-08-07,8526,"2,59","3,33",227045,2068-08-30,1988-08-30,M,MACRON,Emmanuel,128363,2038-08-30,2056-08-30
